No,"Phase-to-phase Voltage
(Vrms) kV",Phase angle,Frequency,"Fault ground
Resistance Ω",Fault Location,MaxCoefA,MaxCoefB,MaxCoefC,MaxCoefGnd,A,B,C,G
95,250,0,60,0.8,Before transmission line,103.9784,103.9772,20397.6383,50843.2316,0,0,1,1
96,250,0,60,0.8,Before transmission line,103.9784,103.9772,103.9772,0.0000,0,0,0,0
97,250,0,60,0.9,Before transmission line,16097055.7100,40725475.3600,16097055.7100,8974.2001,1,1,1,1
98,250,0,60,0.9,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
99,250,0,60,0.9,Before transmission line,10518598.3800,20374067.4400,103.9772,9660.9910,1,1,0,1
100,250,0,60,0.9,Before transmission line,20351371.0500,103.9772,8641775.0470,22612.6755,1,0,1,1
101,250,0,60,0.9,Before transmission line,103.9784,40725475.3600,7051470.7730,8458.3637,0,1,1,1
102,250,0,60,0.9,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
103,250,0,60,0.9,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
104,250,0,60,0.9,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
105,250,0,60,0.9,Before transmission line,21200.9706,126.6780,103.9772,21105.6872,1,0,0,1
106,250,0,60,0.9,Before transmission line,103.9784,45247.1037,128.3525,14628.1940,0,1,0,1
107,250,0,60,0.9,Before transmission line,103.9784,103.9772,18139.0954,45200.2536,0,0,1,1
108,250,0,60,0.9,Before transmission line,103.9784,103.9772,103.9772,0.0000,0,0,0,0
109,250,0,60,1,Before transmission line,16097055.7100,40725475.3600,16097055.7100,8077.8828,1,1,1,1
110,250,0,60,1,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
111,250,0,60,1,Before transmission line,10537815.8800,20372937.3700,103.9772,8691.1560,1,1,0,1
112,250,0,60,1,Before transmission line,20352501.1200,103.9772,8644790.8700,20352.5380,1,0,1,1
113,250,0,60,1,Before transmission line,103.9784,40725475.3600,7456063.2200,9987.6435,0,1,1,1
114,250,0,60,1,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
115,250,0,60,1,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
116,250,0,60,1,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
117,250,0,60,1,Before transmission line,16266.6668,103.9772,103.9772,17125.1618,1,0,0,1
118,250,0,60,1,Before transmission line,103.9784,40731.5938,128.3453,13167.7840,0,1,0,1
119,250,0,60,1,Before transmission line,103.9784,103.9772,16331.5729,40684.7438,0,0,1,1
120,250,0,60,1,Before transmission line,103.9784,103.9772,103.9772,0.0000,0,0,0,0
121,250,0,60,0.1,After transmission line,767.3107,700.1110,792.7979,378.6865,1,1,1,1
122,250,0,60,0.1,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
123,250,0,60,0.1,After transmission line,1035.4617,967.8542,131.5697,718.7036,1,1,0,1
124,250,0,60,0.1,After transmission line,864.8195,129.3201,845.4564,503.6704,1,0,1,1
125,250,0,60,0.1,After transmission line,132.3602,674.4158,802.3895,329.8315,0,1,1,1
126,250,0,60,0.1,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
127,250,0,60,0.1,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
128,250,0,60,0.1,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
129,250,0,60,0.1,After transmission line,1031.3052,99.1685,123.9657,654.3723,1,0,0,1
130,250,0,60,0.1,After transmission line,126.9612,654.1111,85.7360,905.8806,0,1,0,1
131,250,0,60,0.1,After transmission line,131.5648,131.5651,770.0303,815.7488,0,0,1,1
132,250,0,60,0.1,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
133,250,0,60,0.2,After transmission line,767.3107,700.1110,792.7979,371.8773,1,1,1,1
134,250,0,60,0.2,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
135,250,0,60,0.2,After transmission line,1043.0488,583.9426,85.0469,644.6281,1,1,0,1
136,250,0,60,0.2,After transmission line,956.6173,131.6177,1250.1539,473.3464,1,0,1,1
137,250,0,60,0.2,After transmission line,132.3415,681.7538,811.3154,338.3430,0,1,1,1
138,250,0,60,0.2,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
139,250,0,60,0.2,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
140,250,0,60,0.2,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
141,250,0,60,0.2,After transmission line,1021.6658,101.2368,126.5910,639.8718,1,0,0,1
142,250,0,60,0.2,After transmission line,131.5655,756.8386,131.5650,839.1373,0,1,0,1
143,250,0,60,0.2,After transmission line,94.0435,124.9820,724.7019,787.1994,0,0,1,1
144,250,0,60,0.2,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
145,250,0,60,0.3,After transmission line,767.3107,700.1110,792.7979,376.4967,1,1,1,1
146,250,0,60,0.3,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
147,250,0,60,0.3,After transmission line,1050.1328,583.4764,85.0469,637.7645,1,1,0,1
148,250,0,60,0.3,After transmission line,971.4318,114.6157,1120.1854,473.6415,1,0,1,1
149,250,0,60,0.3,After transmission line,133.4715,734.6845,554.3000,451.5198,0,1,1,1
150,250,0,60,0.3,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
151,250,0,60,0.3,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
152,250,0,60,0.3,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
153,250,0,60,0.3,After transmission line,1011.6946,103.2903,129.2277,625.1367,1,0,0,1
154,250,0,60,0.3,After transmission line,124.0579,636.8765,88.1686,823.9965,0,1,0,1
155,250,0,60,0.3,After transmission line,131.4745,131.4748,733.6814,718.1655,0,0,1,1
156,250,0,60,0.3,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
157,250,0,60,0.4,After transmission line,767.3107,700.1110,792.7979,381.3484,1,1,1,1
158,250,0,60,0.4,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
159,250,0,60,0.4,After transmission line,1056.7373,714.6373,131.5295,712.0267,1,1,0,1
160,250,0,60,0.4,After transmission line,985.9298,113.1388,1134.1836,473.9600,1,0,1,1
161,250,0,60,0.4,After transmission line,132.2908,720.5247,831.2423,354.2385,0,1,1,1
162,250,0,60,0.4,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
163,250,0,60,0.4,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
164,250,0,60,0.4,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
165,250,0,60,0.4,After transmission line,948.6233,131.4328,131.3991,641.4632,1,0,0,1
166,250,0,60,0.4,After transmission line,127.1617,435.7179,89.3822,799.7218,0,1,0,1
167,250,0,60,0.4,After transmission line,131.4239,131.4242,715.2707,692.1077,0,0,1,1
168,250,0,60,0.4,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
169,250,0,60,0.5,After transmission line,767.3107,700.1110,792.7979,386.4282,1,1,1,1
170,250,0,60,0.5,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
171,250,0,60,0.5,After transmission line,1062.8308,730.3523,131.5139,709.2079,1,1,0,1
172,250,0,60,0.5,After transmission line,772.4252,131.5687,1141.8169,474.3020,1,0,1,1
173,250,0,60,0.5,After transmission line,133.3801,715.6737,841.5408,361.6581,0,1,1,1
174,250,0,60,0.5,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
175,250,0,60,0.5,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
176,250,0,60,0.5,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
177,250,0,60,0.5,After transmission line,931.5393,131.3804,131.3469,665.4409,1,0,0,1
178,250,0,60,0.5,After transmission line,130.2384,527.8683,90.5938,775.6900,0,1,0,1
179,250,0,60,0.5,After transmission line,67.9448,124.8629,965.0567,689.5371,0,0,1,1
180,250,0,60,0.5,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
181,250,0,60,0.6,After transmission line,767.3107,700.1110,792.7979,391.7320,1,1,1,1
182,250,0,60,0.6,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
183,250,0,60,0.6,After transmission line,1068.4383,670.7602,85.0469,616.0568,1,1,0,1
184,250,0,60,0.6,After transmission line,861.0951,77.5036,1100.8975,474.6674,1,0,1,1
185,250,0,60,0.6,After transmission line,133.3286,717.7915,854.9721,368.7790,0,1,1,1
186,250,0,60,0.6,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
187,250,0,60,0.6,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
188,250,0,60,0.6,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
189,250,0,60,0.6,After transmission line,914.9161,113.2715,94.9427,688.9460,1,0,0,1
190,250,0,60,0.6,After transmission line,131.3193,566.3137,131.3190,751.8982,0,1,0,1
191,250,0,60,0.6,After transmission line,70.4228,128.0986,973.5784,675.6857,0,0,1,1
192,250,0,60,0.6,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
193,250,0,60,0.7,After transmission line,767.3107,700.1110,792.7979,397.2557,1,1,1,1
194,250,0,60,0.7,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
195,250,0,60,0.7,After transmission line,1073.5671,759.6234,131.4792,702.6535,1,1,0,1
196,250,0,60,0.7,After transmission line,743.5396,131.5318,1060.0692,475.0563,1,0,1,1
197,250,0,60,0.7,After transmission line,133.2734,546.8991,693.9717,284.7957,0,1,1,1
198,250,0,60,0.7,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
199,250,0,60,0.7,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
200,250,0,60,0.7,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
201,250,0,60,0.7,After transmission line,898.7411,131.2690,132.1149,711.9858,1,0,0,1
202,250,0,60,0.7,After transmission line,132.5670,596.6512,93.6812,728.3436,0,1,0,1
203,250,0,60,0.7,After transmission line,131.2540,131.2540,967.6377,620.5952,0,0,1,1
204,250,0,60,0.7,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
205,250,0,60,0.8,After transmission line,767.3107,700.1110,792.7979,402.9957,1,1,1,1
206,250,0,60,0.8,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
207,250,0,60,0.8,After transmission line,1078.2251,673.1862,85.0469,600.9497,1,1,0,1
208,250,0,60,0.8,After transmission line,886.4731,98.8627,775.4180,475.4685,1,0,1,1
209,250,0,60,0.8,After transmission line,133.2149,506.7601,692.6302,272.5551,0,1,1,1
210,250,0,60,0.8,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
211,250,0,60,0.8,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
212,250,0,60,0.8,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
213,250,0,60,0.8,After transmission line,883.0017,131.2100,134.2748,734.5675,1,0,0,1
214,250,0,60,0.8,After transmission line,106.9282,408.1283,103.0476,705.0232,0,1,0,1
215,250,0,60,0.8,After transmission line,104.5304,86.5987,926.0743,610.7221,0,0,1,1
216,250,0,60,0.8,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
217,250,0,60,0.9,After transmission line,767.3107,700.1110,792.7979,408.9483,1,1,1,1
218,250,0,60,0.9,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
219,250,0,60,0.9,After transmission line,1082.4206,789.2867,85.0469,593.2503,1,1,0,1
220,250,0,60,0.9,After transmission line,942.5994,97.4552,795.5401,475.9041,1,0,1,1
221,250,0,60,0.9,After transmission line,133.1530,505.7075,691.2246,260.6625,0,1,1,1
222,250,0,60,0.9,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
223,250,0,60,0.9,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
224,250,0,60,0.9,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
225,250,0,60,0.9,After transmission line,867.6856,131.1486,136.4248,756.6978,1,0,0,1
226,250,0,60,0.9,After transmission line,110.9207,414.8397,105.0579,681.9346,0,1,0,1
227,250,0,60,0.9,After transmission line,106.5187,91.3645,885.6480,601.0533,0,0,1,1
228,250,0,60,0.9,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
229,250,0,60,1,After transmission line,767.3107,700.1110,792.7979,415.1099,1,1,1,1
230,250,0,60,1,After transmission line,919.8271,976.9918,728.7967,0.0143,1,1,1,0
231,250,0,60,1,After transmission line,1086.1627,675.7491,85.0469,585.4793,1,1,0,1
232,250,0,60,1,After transmission line,488.8934,131.4729,840.8784,515.1910,1,0,1,1
233,250,0,60,1,After transmission line,133.0879,508.1674,689.7646,249.1103,0,1,1,1
234,250,0,60,1,After transmission line,502.8042,527.8540,114.1036,0.0051,1,1,0,0
235,250,0,60,1,After transmission line,373.9172,99.4121,488.2035,0.0136,1,0,1,0
236,250,0,60,1,After transmission line,115.7232,594.5955,735.5252,0.0104,0,1,1,0
237,250,0,60,1,After transmission line,852.7806,75.2923,102.6836,778.3837,1,0,0,1
238,250,0,60,1,After transmission line,114.8692,421.4921,107.0680,659.0750,0,1,0,1
239,250,0,60,1,After transmission line,131.0678,131.0679,846.3774,591.6231,0,0,1,1
240,250,0,60,1,After transmission line,72.1093,132.0854,115.7165,0.0000,0,0,0,0
