FaultType,GroundResistance,PhaseA_Max,PhaseB_Max,PhaseC_Max,Ground_Max
Single_Line_to_Ground_Fault_B_Ground,0.9,103.9783919,45247.10369,128.3524523,14628.19403
Single_Line_to_Ground_Fault_C_Ground,0.9,103.9783919,103.9771527,18139.09537,45200.25361
No_Fault,0.9,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,1,16097055.71,40725475.36,16097055.71,8077.882848
Three_Phase_Short_CKT_Fault_ABC,1,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,1,10537815.88,20372937.37,103.9771621,8691.155989
Double_Line_to_Ground_Fault_AC_Ground,1,20352501.12,103.9771527,8644790.87,20352.53798
Double_Line_to_Ground_Fault_BC_Ground,1,103.9783919,40725475.36,7456063.22,9987.643489
Line_to_Line_Fault_AB,1,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,1,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,1,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,1,16266.6668,103.9771527,103.9771621,17125.16181
Single_Line_to_Ground_Fault_B_Ground,1,103.9783919,40731.59384,128.3453252,13167.78401
Single_Line_to_Ground_Fault_C_Ground,1,103.9783919,103.9771527,16331.57293,40684.74376
No_Fault,1,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.1,767.3107449,700.1110009,792.7979064,378.6864622
Three_Phase_Short_CKT_Fault_ABC,0.1,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.1,1035.461744,967.854234,131.5696741,718.7035959
Double_Line_to_Ground_Fault_AC_Ground,0.1,864.8195395,129.3200877,845.4564312,503.670447
Double_Line_to_Ground_Fault_BC_Ground,0.1,132.3601676,674.4157788,802.3895481,329.831465
Line_to_Line_Fault_AB,0.1,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.1,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.1,115.7232301,594.5954543,735.5252057,0.0103538
